Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Delaware River at Trenton,40.22032,-74.7777,2000-07-10,Fecal Coliform,,13.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-22,Nitrate,Total,0.6,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-27,Nitrate,Total,1.0,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-19,Enterococcus,,80.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Nitrate,Total,1.63,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-24,Nitrate,Total,1.7,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-22,Orthophosphate,Total,0.11,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-07-10,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Fecal Coliform,,235.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-06-05,Orthophosphate,Total,0.06,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-05-08,Nitrate,Total,0.6,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-07,Nitrate,Total,2.25,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Nitrate,Total,2.1,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-09-11,Enterococcus,,2.0,#/100mL,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2000-08-21,Fecal Coliform,,110.0,#/100mL,Delaware River Basin Commission
